graph_size: (,)
field_type: Q
number_of_graphs: 66
1; (0,1), (0,2), (0,3), (0,4), (0,5), (0,6), (0,7), (1,3), (1,7), (2,4), (2,7), (3,5), (4,6), (5,6)
-9436614460411/3899967581776; (0,1), (0,2), (0,3), (0,4), (0,5), (1,2), (1,3), (1,6), (1,7), (2,4), (3,5), (4,6), (5,7), (6,7)
1165059213039/974991895444; (0,1), (0,2), (0,3), (0,4), (0,5), (1,3), (1,5), (1,6), (2,5), (2,6), (3,7), (4,6), (4,7), (6,7)
-160433506615/243747973861; (0,1), (0,2), (0,3), (0,4), (0,5), (1,3), (1,6), (1,7), (2,4), (2,6), (3,7), (4,6), (5,6), (5,7)
7; (0,1), (0,2), (0,3), (0,4), (0,6), (0,7), (1,5), (1,6), (1,7), (2,3), (2,6), (3,4), (4,5), (5,7)
7; (0,1), (0,2), (0,3), (0,4), (0,6), (0,7), (1,5), (1,6), (1,7), (2,4), (2,6), (3,5), (3,7), (4,5)
-5235062007141/3899967581776; (0,1), (0,2), (0,3), (0,4), (0,6), (1,2), (1,3), (1,4), (1,5), (2,5), (3,6), (4,7), (5,7), (6,7)
-160433506615/487495947722; (0,1), (0,2), (0,3), (0,5), (0,6), (0,7), (1,5), (1,6), (1,7), (2,3), (2,4), (3,4), (4,5), (6,7)
2544809406033/487495947722; (0,1), (0,2), (0,3), (0,5), (0,7), (1,2), (1,3), (1,4), (1,6), (2,4), (3,5), (4,6), (5,7), (6,7)
-11154569899973/3899967581776; (0,1), (0,2), (0,3), (0,5), (0,7), (1,2), (1,3), (1,4), (1,6), (2,4), (3,5), (4,7), (5,6), (6,7)
-160433506615/487495947722; (0,1), (0,2), (0,3), (0,7), (1,4), (1,5), (1,7), (2,3), (2,7), (3,7), (4,5), (4,6), (5,6), (6,7)
-3598397979223/3899967581776; (0,1), (0,2), (0,3), (0,7), (1,4), (1,5), (1,7), (2,4), (2,7), (3,6), (3,7), (4,5), (5,6), (6,7)
493691375599/557138225968; (0,1), (0,2), (0,4), (0,5), (1,3), (1,4), (1,6), (2,3), (2,6), (2,7), (3,5), (3,7), (4,5), (6,7)
-160433506615/974991895444; (0,1), (0,2), (0,4), (0,5), (1,3), (1,6), (1,7), (2,3), (2,6), (2,7), (3,4), (3,5), (4,5), (6,7)
-293411165435/1949983790888; (0,1), (0,2), (0,4), (0,6), (1,3), (1,5), (1,7), (2,3), (2,4), (3,5), (4,6), (4,7), (5,6), (5,7)
169517449351/3899967581776; (0,1), (0,2), (0,4), (0,6), (1,3), (1,5), (1,7), (2,3), (2,5), (3,4), (4,6), (4,7), (5,6), (5,7)
1456292415289/557138225968; (0,1), (0,2), (0,4), (0,7), (1,3), (1,5), (1,7), (2,4), (2,7), (3,5), (3,7), (4,6), (5,6), (6,7)
1857043623699/974991895444; (0,1), (0,2), (0,4), (0,7), (1,3), (1,5), (1,7), (2,5), (2,7), (3,4), (3,7), (4,6), (5,6), (6,7)
-7; (0,1), (0,2), (0,4), (1,2), (1,3), (1,7), (2,4), (2,7), (3,6), (3,7), (4,5), (5,6), (5,7), (6,7)
587287910009/3899967581776; (0,1), (0,2), (0,5), (0,6), (1,3), (1,4), (1,7), (2,3), (2,4), (2,7), (3,5), (3,7), (4,6), (5,6)
-1213197036741/974991895444; (0,1), (0,2), (0,5), (0,6), (1,3), (1,5), (1,7), (2,3), (2,4), (2,7), (3,4), (3,7), (4,6), (5,6)
3598397979223/3899967581776; (0,1), (0,2), (0,5), (0,7), (1,2), (1,4), (1,7), (2,3), (3,6), (3,7), (4,5), (4,6), (5,6), (6,7)
640700045493/139284556492; (0,1), (0,2), (0,5), (0,7), (1,3), (1,4), (1,7), (2,4), (2,7), (3,6), (3,7), (4,5), (5,6), (6,7)
-1485441680801/974991895444; (0,1), (0,2), (0,5), (1,2), (1,3), (1,4), (1,7), (2,3), (2,5), (3,6), (4,5), (4,7), (5,6), (6,7)
