graph_size: (,)
field_type: Q
number_of_graphs: 66
1; (0,1), (0,2), (0,3), (0,4), (0,5), (0,6), (0,7), (1,3), (1,7), (2,4), (2,7), (3,5), (4,6), (5,6)
-255029397953/98080410105; (0,1), (0,2), (0,3), (0,4), (0,5), (1,2), (1,3), (1,6), (1,7), (2,4), (3,5), (4,6), (5,7), (6,7)
161329529759/98080410105; (0,1), (0,2), (0,3), (0,4), (0,5), (1,3), (1,5), (1,6), (2,5), (2,6), (3,7), (4,6), (4,7), (6,7)
-39371955922/98080410105; (0,1), (0,2), (0,3), (0,4), (0,5), (1,3), (1,6), (1,7), (2,4), (2,6), (3,7), (4,6), (5,6), (5,7)
7; (0,1), (0,2), (0,3), (0,4), (0,6), (0,7), (1,5), (1,6), (1,7), (2,3), (2,6), (3,4), (4,5), (5,7)
7; (0,1), (0,2), (0,3), (0,4), (0,6), (0,7), (1,5), (1,6), (1,7), (2,4), (2,6), (3,5), (3,7), (4,5)
-103337870627/78464328084; (0,1), (0,2), (0,3), (0,4), (0,6), (1,2), (1,3), (1,4), (1,5), (2,5), (3,6), (4,7), (5,7), (6,7)
-19685977961/98080410105; (0,1), (0,2), (0,3), (0,5), (0,6), (0,7), (1,5), (1,6), (1,7), (2,3), (2,4), (3,4), (4,5), (6,7)
1646337129697/313857312336; (0,1), (0,2), (0,3), (0,5), (0,7), (1,2), (1,3), (1,4), (1,6), (2,4), (3,5), (4,6), (5,7), (6,7)
-4165352881907/1569286561680; (0,1), (0,2), (0,3), (0,5), (0,7), (1,2), (1,3), (1,4), (1,6), (2,4), (3,5), (4,7), (5,6), (6,7)
-19685977961/98080410105; (0,1), (0,2), (0,3), (0,7), (1,4), (1,5), (1,7), (2,3), (2,7), (3,7), (4,5), (4,6), (5,6), (6,7)
-707142195679/784643280840; (0,1), (0,2), (0,3), (0,7), (1,4), (1,5), (1,7), (2,4), (2,7), (3,6), (3,7), (4,5), (5,6), (6,7)
175950622699/196160820210; (0,1), (0,2), (0,4), (0,5), (1,3), (1,4), (1,6), (2,3), (2,6), (2,7), (3,5), (3,7), (4,5), (6,7)
-19685977961/196160820210; (0,1), (0,2), (0,4), (0,5), (1,3), (1,6), (1,7), (2,3), (2,6), (2,7), (3,4), (3,5), (4,5), (6,7)
-80413150979/1569286561680; (0,1), (0,2), (0,4), (0,6), (1,3), (1,5), (1,7), (2,3), (2,4), (3,5), (4,6), (4,7), (5,6), (5,7)
121297028447/1569286561680; (0,1), (0,2), (0,4), (0,6), (1,3), (1,5), (1,7), (2,3), (2,5), (3,4), (4,6), (4,7), (5,6), (5,7)
255306124018/98080410105; (0,1), (0,2), (0,4), (0,7), (1,3), (1,5), (1,7), (2,4), (2,7), (3,5), (3,7), (4,6), (5,6), (6,7)
34331578192/19616082021; (0,1), (0,2), (0,4), (0,7), (1,3), (1,5), (1,7), (2,5), (2,7), (3,4), (3,7), (4,6), (5,6), (6,7)
-7; (0,1), (0,2), (0,4), (1,2), (1,3), (1,7), (2,4), (2,7), (3,6), (3,7), (4,5), (5,6), (5,7), (6,7)
8639070007/17436517352; (0,1), (0,2), (0,5), (0,6), (1,3), (1,4), (1,7), (2,3), (2,4), (2,7), (3,5), (3,7), (4,6), (5,6)
-1251893643053/784643280840; (0,1), (0,2), (0,5), (0,6), (1,3), (1,5), (1,7), (2,3), (2,4), (2,7), (3,4), (3,7), (4,6), (5,6)
707142195679/784643280840; (0,1), (0,2), (0,5), (0,7), (1,2), (1,4), (1,7), (2,3), (3,6), (3,7), (4,5), (4,6), (5,6), (6,7)
4043819135137/784643280840; (0,1), (0,2), (0,5), (0,7), (1,3), (1,4), (1,7), (2,4), (2,7), (3,6), (3,7), (4,5), (5,6), (6,7)
-1285634360731/784643280840; (0,1), (0,2), (0,5), (1,2), (1,3), (1,4), (1,7), (2,3), (2,5), (3,6), (4,5), (4,7), (5,6), (6,7)
1417034475973/784643280840; (0,1), (0,2), (0,5), (1,2), (1,3), (1,4), (1,7), (2,3), (2,5), (3,7), (4,5), (4,6), (5,6), (6,7)
2103271258441/784643280840; (0,1), (0,2), (0,5), (1,2), (1,3), (1,4), (1,7), (2,5), (2,6), (3,5), (3,6), (4,5), (4,7), (6,7)
1730231239477/392321640420; (0,1), (0,2), (0,5), (1,2), (1,3), (1,7), (2,4), (2,7), (3,6), (3,7), (4,5), (4,6), (5,7), (6,7)
-10411096466/10897823345; (0,1), (0,2), (0,6), (0,7), (1,2), (1,4), (1,7), (2,3), (2,6), (3,4), (3,5), (4,5), (5,6), (5,7)
75572382517/52309552056; (0,1), (0,2), (0,6), (0,7), (1,3), (1,5), (1,6), (2,4), (2,5), (3,4), (3,5), (4,6), (4,7), (6,7)
181530099058/98080410105; (0,1), (0,2), (0,6), (0,7), (1,5), (1,6), (1,7), (2,4), (2,5), (3,4), (3,5), (3,6), (4,6), (4,7)
-2745125586577/784643280840; (0,1), (0,2), (0,6), (1,2), (1,3), (1,7), (2,4), (2,7), (3,4), (3,7), (4,5), (5,6), (5,7), (6,7)
-13216227329/32693470035; (0,1), (0,2), (0,6), (1,2), (1,4), (1,6), (2,3), (2,6), (3,6), (3,7), (4,5), (4,7), (5,6), (5,7)
-10411096466/10897823345; (0,1), (0,2), (0,7), (1,2), (1,4), (1,6), (2,3), (2,6), (3,6), (3,7), (4,5), (4,6), (5,6), (5,7)
342787180291/392321640420; (0,1), (0,3), (0,4), (0,6), (1,2), (1,5), (1,6), (2,6), (2,7), (3,6), (3,7), (4,5), (4,6), (5,7)
38553732709/87182586760; (0,1), (0,3), (0,4), (0,6), (1,3), (1,5), (1,7), (2,3), (2,4), (2,5), (4,6), (4,7), (5,6), (5,7)
-39371955922/98080410105; (0,1), (0,3), (0,4), (0,7), (1,2), (1,5), (1,7), (2,5), (2,7), (3,4), (3,6), (4,6), (5,6), (6,7)
542001362759/784643280840; (0,1), (0,3), (0,5), (0,7), (1,2), (1,4), (1,7), (2,3), (2,4), (2,5), (3,6), (3,7), (4,6), (5,6)
485584658989/98080410105; (0,1), (0,3), (0,5), (0,7), (1,2), (1,4), (1,7), (2,4), (2,7), (3,6), (3,7), (4,5), (5,6), (6,7)
-200978211746/98080410105; (0,1), (0,3), (0,5), (0,7), (1,3), (1,4), (1,7), (2,4), (2,6), (2,7), (3,5), (4,6), (5,6), (6,7)
-337833604588/98080410105; (0,1), (0,3), (0,5), (1,3), (1,4), (1,6), (1,7), (2,3), (2,5), (2,6), (3,5), (4,5), (4,7), (6,7)
1251893643053/784643280840; (0,1), (0,3), (0,6), (0,7), (1,2), (1,3), (1,6), (2,4), (2,5), (3,5), (4,5), (4,6), (4,7), (6,7)
1230974615659/784643280840; (0,1), (0,3), (0,6), (0,7), (1,2), (1,6), (1,7), (2,4), (2,5), (3,5), (3,6), (4,5), (4,6), (4,7)
