graph_size: (,)
field_type: Q
number_of_graphs: 26
175950622699/196160820210; (0,1), (0,2), (0,4), (0,5), (1,3), (1,4), (1,6), (2,3), (2,6), (2,7), (3,5), (3,7), (4,5), (6,7)
-19685977961/196160820210; (0,1), (0,2), (0,4), (0,5), (1,3), (1,6), (1,7), (2,3), (2,6), (2,7), (3,4), (3,5), (4,5), (6,7)
-80413150979/1569286561680; (0,1), (0,2), (0,4), (0,6), (1,3), (1,5), (1,7), (2,3), (2,4), (3,5), (4,6), (4,7), (5,6), (5,7)
121297028447/1569286561680; (0,1), (0,2), (0,4), (0,6), (1,3), (1,5), (1,7), (2,3), (2,5), (3,4), (4,6), (4,7), (5,6), (5,7)
8639070007/17436517352; (0,1), (0,2), (0,5), (0,6), (1,3), (1,4), (1,7), (2,3), (2,4), (2,7), (3,5), (3,7), (4,6), (5,6)
-1251893643053/784643280840; (0,1), (0,2), (0,5), (0,6), (1,3), (1,5), (1,7), (2,3), (2,4), (2,7), (3,4), (3,7), (4,6), (5,6)
707142195679/784643280840; (0,1), (0,2), (0,5), (0,7), (1,2), (1,4), (1,7), (2,3), (3,6), (3,7), (4,5), (4,6), (5,6), (6,7)
-10411096466/10897823345; (0,1), (0,2), (0,6), (0,7), (1,2), (1,4), (1,7), (2,3), (2,6), (3,4), (3,5), (4,5), (5,6), (5,7)
75572382517/52309552056; (0,1), (0,2), (0,6), (0,7), (1,3), (1,5), (1,6), (2,4), (2,5), (3,4), (3,5), (4,6), (4,7), (6,7)
181530099058/98080410105; (0,1), (0,2), (0,6), (0,7), (1,5), (1,6), (1,7), (2,4), (2,5), (3,4), (3,5), (3,6), (4,6), (4,7)
38553732709/87182586760; (0,1), (0,3), (0,4), (0,6), (1,3), (1,5), (1,7), (2,3), (2,4), (2,5), (4,6), (4,7), (5,6), (5,7)
-39371955922/98080410105; (0,1), (0,3), (0,4), (0,7), (1,2), (1,5), (1,7), (2,5), (2,7), (3,4), (3,6), (4,6), (5,6), (6,7)
542001362759/784643280840; (0,1), (0,3), (0,5), (0,7), (1,2), (1,4), (1,7), (2,3), (2,4), (2,5), (3,6), (3,7), (4,6), (5,6)
-200978211746/98080410105; (0,1), (0,3), (0,5), (0,7), (1,3), (1,4), (1,7), (2,4), (2,6), (2,7), (3,5), (4,6), (5,6), (6,7)
1251893643053/784643280840; (0,1), (0,3), (0,6), (0,7), (1,2), (1,3), (1,6), (2,4), (2,5), (3,5), (4,5), (4,6), (4,7), (6,7)
1230974615659/784643280840; (0,1), (0,3), (0,6), (0,7), (1,2), (1,6), (1,7), (2,4), (2,5), (3,5), (3,6), (4,5), (4,6), (4,7)
900546112079/784643280840; (0,1), (0,4), (0,5), (0,7), (1,2), (1,3), (1,7), (2,5), (2,7), (3,4), (3,6), (4,6), (5,6), (6,7)
-1417034475973/784643280840; (0,1), (0,4), (0,6), (0,7), (1,3), (1,5), (1,6), (2,3), (2,4), (2,5), (3,5), (4,6), (4,7), (5,7)
-313463387849/261547760280; (0,1), (0,5), (0,6), (0,7), (1,3), (1,4), (1,6), (2,3), (2,4), (2,5), (3,5), (4,6), (4,7), (5,7)
1571681203801/1569286561680; (0,2), (0,3), (0,5), (0,7), (1,2), (1,3), (1,4), (1,7), (2,6), (2,7), (3,4), (3,5), (4,6), (5,6)
-17165789096/19616082021; (0,2), (0,3), (0,6), (0,7), (1,2), (1,3), (1,6), (1,7), (2,5), (3,4), (4,5), (4,6), (5,7), (6,7)
1980573561211/784643280840; (0,2), (0,3), (0,6), (0,7), (1,3), (1,4), (1,6), (1,7), (2,4), (2,7), (3,5), (4,5), (5,6), (6,7)
-199493585837/130773880140; (0,2), (0,3), (0,6), (0,7), (1,3), (1,4), (1,6), (1,7), (2,5), (2,7), (3,4), (4,5), (5,6), (6,7)
202118593513/392321640420; (0,2), (0,4), (0,6), (0,7), (1,2), (1,3), (1,6), (1,7), (2,5), (3,5), (3,6), (4,5), (4,7), (6,7)
-4240609322827/1569286561680; (0,2), (0,4), (0,6), (0,7), (1,3), (1,5), (1,6), (1,7), (2,4), (2,6), (3,5), (3,7), (4,5), (6,7)
2751091534157/1569286561680; (0,2), (0,4), (0,6), (0,7), (1,3), (1,5), (1,6), (1,7), (2,5), (2,6), (3,4), (3,7), (4,5), (6,7)
